,日付,始値,高値,安値,終値,出来高,終値調整
0,2015-10-20,1506.0,1507.0,1496.0,1501.0,15618.0,1501.0
1,2015-10-21,1501.0,1531.0,1499.0,1527.0,3016.0,1527.0
2,2015-10-22,1536.0,1536.0,1516.0,1520.0,6465.0,1520.0
3,2015-10-23,1558.0,1558.0,1545.0,1549.0,3349.0,1549.0
4,2015-10-26,1589.0,1589.0,1560.0,1560.0,5704.0,1560.0
5,2015-10-27,1564.0,1564.0,1543.0,1545.0,5173.0,1545.0
6,2015-10-28,1547.0,1549.0,1540.0,1546.0,15189.0,1546.0
7,2015-10-29,1558.0,1558.0,1537.0,1549.0,13355.0,1549.0
8,2015-10-30,1547.0,1569.0,1538.0,1558.0,5601.0,1558.0
9,2015-11-02,1535.0,1535.0,1523.0,1527.0,4735.0,1527.0
10,2015-11-04,1553.0,1558.0,1540.0,1541.0,3869.0,1541.0
11,2015-11-05,1546.0,1561.0,1546.0,1559.0,857.0,1559.0
12,2015-11-06,1563.0,1565.0,1556.0,1563.0,640.0,1563.0
13,2015-11-09,1577.0,1596.0,1577.0,1587.0,4803.0,1587.0
14,2015-11-10,1576.0,1590.0,1576.0,1590.0,614.0,1590.0
15,2015-11-11,1588.0,1598.0,1586.0,1597.0,308537.0,1597.0
16,2015-11-12,1596.0,1597.0,1587.0,1596.0,1122.0,1596.0
17,2015-11-13,1582.0,1586.0,1571.0,1585.0,3522.0,1585.0
18,2015-11-16,1557.0,1577.0,1557.0,1573.0,3717.0,1573.0
19,2015-11-17,1590.0,1596.0,1588.0,1590.0,359.0,1590.0
20,2015-11-18,1593.0,1597.0,1586.0,1587.0,287.0,1587.0
21,2015-11-19,1600.0,1609.0,1596.0,1599.0,582484.0,1599.0
22,2015-11-20,1598.0,1600.0,1590.0,1600.0,121761.0,1600.0
23,2015-11-24,1601.0,1609.0,1597.0,1606.0,978610.0,1606.0
24,2015-11-25,1600.0,1600.0,1589.0,1595.0,4132.0,1595.0
25,2015-11-26,1598.0,1606.0,1595.0,1598.0,154085.0,1598.0
26,2015-11-27,1609.0,1609.0,1588.0,1594.0,43017.0,1594.0
27,2015-11-30,1594.0,1594.0,1575.0,1581.0,167656.0,1581.0
28,2015-12-01,1584.0,1601.0,1581.0,1600.0,1723098.0,1600.0
29,2015-12-02,1601.0,1607.0,1598.0,1603.0,354563.0,1603.0
30,2015-12-03,1602.0,1607.0,1592.0,1604.0,146176.0,1604.0
31,2015-12-04,1578.0,1579.0,1568.0,1572.0,36531.0,1572.0
32,2015-12-07,1590.0,1596.0,1584.0,1586.0,16729.0,1586.0
33,2015-12-08,1588.0,1592.0,1566.0,1569.0,15240.0,1569.0
34,2015-12-09,1564.0,1569.0,1552.0,1556.0,1905.0,1556.0
35,2015-12-10,1544.0,1546.0,1536.0,1540.0,97999.0,1540.0
36,2015-12-11,1543.0,1552.0,1535.0,1549.0,6824.0,1549.0
37,2015-12-14,1519.0,1530.0,1504.0,1530.0,169587.0,1530.0
38,2015-12-15,1531.0,1531.0,1502.0,1504.0,109397.0,1504.0
39,2015-12-16,1533.0,1542.0,1528.0,1539.0,68287.0,1539.0
40,2015-12-17,1577.0,1577.0,1560.0,1565.0,2066.0,1565.0
41,2015-12-18,1568.0,1595.0,1537.0,1544.0,6167.0,1544.0
42,2015-12-21,1531.0,1536.0,1512.0,1533.0,1128997.0,1533.0
43,2015-12-22,1536.0,1538.0,1526.0,1536.0,30920.0,1536.0
44,2015-12-24,1556.0,1556.0,1523.0,1524.0,4930.0,1524.0
45,2015-12-25,1533.0,1533.0,1514.0,1517.0,13545.0,1517.0
46,2015-12-28,1553.0,1553.0,1520.0,1530.0,4390.0,1530.0
47,2015-12-29,1532.0,1544.0,1521.0,1539.0,2910.0,1539.0
48,2015-12-30,1550.0,1557.0,1500.0,1529.0,626768.0,1529.0
49,2016-01-04,1530.0,1548.0,1505.0,1514.0,89691.0,1514.0
50,2016-01-05,1520.0,1520.0,1500.0,1507.0,85185.0,1507.0
51,2016-01-06,1518.0,1518.0,1481.0,1492.0,136568.0,1492.0
52,2016-01-07,1499.0,1499.0,1459.0,1462.0,168283.0,1462.0
53,2016-01-08,1478.0,1479.0,1444.0,1453.0,55583.0,1453.0
54,2016-01-12,1445.0,1445.0,1404.0,1407.0,15832.0,1407.0
55,2016-01-13,1429.0,1446.0,1429.0,1446.0,51958.0,1446.0
56,2016-01-14,1407.0,1412.0,1386.0,1411.0,28947.0,1411.0
57,2016-01-15,1434.0,1434.0,1398.0,1406.0,4454.0,1406.0
58,2016-01-18,1376.0,1395.0,1367.0,1392.0,8037.0,1392.0
59,2016-01-19,1387.0,1395.0,1378.0,1393.0,29337.0,1393.0
60,2016-01-20,1393.0,1393.0,1340.0,1343.0,8357.0,1343.0
61,2016-01-21,1340.0,1362.0,1305.0,1306.0,11498.0,1306.0
62,2016-01-22,1350.0,1377.0,1337.0,1377.0,30898.0,1377.0
63,2016-01-25,1400.0,1401.0,1379.0,1392.0,22952.0,1392.0
64,2016-01-26,1378.0,1378.0,1360.0,1362.0,42875.0,1362.0
65,2016-01-27,1394.0,1404.0,1391.0,1402.0,171695.0,1402.0
66,2016-01-28,1396.0,1407.0,1388.0,1395.0,36538.0,1395.0
67,2016-01-29,1403.0,1443.0,1375.0,1443.0,92374.0,1443.0
68,2016-02-01,1462.0,1467.0,1452.0,1466.0,38814.0,1466.0
69,2016-02-02,1452.0,1461.0,1448.0,1456.0,91105.0,1456.0
70,2016-02-03,1429.0,1429.0,1399.0,1410.0,153871.0,1410.0
71,2016-02-04,1399.0,1404.0,1385.0,1391.0,173641.0,1391.0
72,2016-02-05,1372.0,1374.0,1355.0,1372.0,21652.0,1372.0
73,2016-02-08,1350.0,1385.0,1349.0,1383.0,7396.0,1383.0
74,2016-02-09,1328.0,1330.0,1303.0,1309.0,121099.0,1309.0
75,2016-02-10,1314.0,1314.0,1249.0,1267.0,111826.0,1267.0
76,2016-02-12,1227.0,1228.0,1194.0,1201.0,61340.0,1201.0
77,2016-02-15,1258.0,1302.0,1252.0,1297.0,37825.0,1297.0
78,2016-02-16,1287.0,1322.0,1281.0,1300.0,125426.0,1300.0
79,2016-02-17,1296.0,1311.0,1269.0,1285.0,217097.0,1285.0
80,2016-02-18,1322.0,1322.0,1309.0,1314.0,384775.0,1314.0
81,2016-02-19,1304.0,1304.0,1283.0,1296.0,184183.0,1296.0
82,2016-02-22,1287.0,1305.0,1281.0,1302.0,254739.0,1302.0
83,2016-02-23,1310.0,1317.0,1292.0,1294.0,95841.0,1294.0
84,2016-02-24,1278.0,1293.0,1269.0,1283.0,115207.0,1283.0
85,2016-02-25,1288.0,1315.0,1288.0,1312.0,128316.0,1312.0
86,2016-02-26,1318.0,1329.0,1315.0,1315.0,35874.0,1315.0
87,2016-02-29,1332.0,1335.0,1300.0,1302.0,170205.0,1302.0
88,2016-03-01,1301.0,1306.0,1288.0,1303.0,355917.0,1303.0
89,2016-03-02,1343.0,1356.0,1330.0,1353.0,115279.0,1353.0
90,2016-03-03,1353.0,1371.0,1351.0,1371.0,92073.0,1371.0
91,2016-03-04,1372.0,1378.0,1363.0,1378.0,92442.0,1378.0
92,2016-03-07,1381.0,1381.0,1362.0,1365.0,155353.0,1365.0
93,2016-03-08,1363.0,1363.0,1331.0,1351.0,255456.0,1351.0
94,2016-03-09,1333.0,1337.0,1325.0,1337.0,201204.0,1337.0
95,2016-03-10,1352.0,1356.0,1338.0,1356.0,57418.0,1356.0
96,2016-03-11,1348.0,1366.0,1335.0,1362.0,121218.0,1362.0
97,2016-03-14,1387.0,1387.0,1376.0,1383.0,443468.0,1383.0
98,2016-03-15,1386.0,1386.0,1370.0,1371.0,408318.0,1371.0
99,2016-03-16,1364.0,1372.0,1361.0,1364.0,56954.0,1364.0
100,2016-03-17,1376.0,1384.0,1351.0,1362.0,3692.0,1362.0
101,2016-03-18,1361.0,1361.0,1338.0,1348.0,2371.0,1348.0
102,2016-03-22,1374.0,1376.0,1360.0,1371.0,6059.0,1371.0
103,2016-03-23,1370.0,1376.0,1364.0,1368.0,7396.0,1368.0
104,2016-03-24,1364.0,1367.0,1350.0,1356.0,19818.0,1356.0
105,2016-03-25,1365.0,1371.0,1355.0,1368.0,51007.0,1368.0
106,2016-03-28,1375.0,1384.0,1368.0,1384.0,2038.0,1384.0
107,2016-03-29,1379.0,1393.0,1379.0,1393.0,3378.0,1393.0
108,2016-03-30,1392.0,1392.0,1371.0,1373.0,7096.0,1373.0
109,2016-03-31,1378.0,1382.0,1360.0,1362.0,18130.0,1362.0
110,2016-04-01,1361.0,1361.0,1313.0,1315.0,37124.0,1315.0
111,2016-04-04,1315.0,1325.0,1307.0,1317.0,87126.0,1317.0
112,2016-04-05,1313.0,1313.0,1280.0,1283.0,89876.0,1283.0
113,2016-04-06,1283.0,1289.0,1270.0,1283.0,1628.0,1283.0
114,2016-04-07,1285.0,1295.0,1275.0,1286.0,1867.0,1286.0
115,2016-04-08,1268.0,1313.0,1264.0,1302.0,7674.0,1302.0
116,2016-04-11,1332.0,1332.0,1276.0,1296.0,2623.0,1296.0
117,2016-04-12,1295.0,1317.0,1290.0,1315.0,11801.0,1315.0
118,2016-04-13,1332.0,1348.0,1329.0,1348.0,32350.0,1348.0
119,2016-04-14,1367.0,1385.0,1366.0,1385.0,14307.0,1385.0
120,2016-04-15,1368.0,1380.0,1368.0,1372.0,3347.0,1372.0
121,2016-04-18,1327.0,1339.0,1327.0,1335.0,30145.0,1335.0
122,2016-04-19,1369.0,1380.0,1369.0,1378.0,19569.0,1378.0
123,2016-04-20,1389.0,1393.0,1378.0,1381.0,14565.0,1381.0
124,2016-04-21,1407.0,1409.0,1398.0,1405.0,159335.0,1405.0
125,2016-04-22,1395.0,1421.0,1394.0,1420.0,79454.0,1420.0
126,2016-04-25,1427.0,1427.0,1413.0,1417.0,1859.0,1417.0
127,2016-04-26,1407.0,1411.0,1396.0,1405.0,56354.0,1405.0
128,2016-04-27,1409.0,1411.0,1395.0,1402.0,42760.0,1402.0
129,2016-04-28,1415.0,1417.0,1347.0,1356.0,23421.0,1356.0
130,2016-05-02,1299.0,1314.0,1297.0,1313.0,27705.0,1313.0
