date,1477.csv,1478.csv,1475.csv
2015-10-20,1670.0,1820.0,1501.0
2015-10-21,1700.0,1865.0,1527.0
2015-10-22,1705.0,1860.0,1520.0
2015-10-23,1735.0,1903.0,1549.0
2015-10-26,1750.0,1909.0,1560.0
2015-10-27,1746.0,1929.0,1545.0
2015-10-28,1723.0,1876.0,1546.0
2015-10-29,1745.0,1914.0,1549.0
2015-10-30,1760.0,1928.0,1558.0
2015-11-02,1760.0,1890.0,1527.0
2015-11-04,1739.0,1912.0,1541.0
2015-11-05,1741.0,1915.0,1559.0
2015-11-06,1765.0,1918.0,1563.0
2015-11-09,1753.0,1967.0,1587.0
2015-11-10,1770.0,1968.0,1590.0
2015-11-11,1773.0,1962.0,1597.0
2015-11-12,1775.0,1957.0,1596.0
2015-11-13,1771.0,1942.0,1585.0
2015-11-16,1769.0,1931.0,1573.0
2015-11-17,1770.0,1947.0,1590.0
2015-11-18,1775.0,1944.0,1587.0
2015-11-19,1771.0,1955.0,1599.0
2015-11-20,1797.0,1944.0,1600.0
2015-11-24,1797.0,1956.0,1606.0
2015-11-25,1792.0,1942.0,1595.0
2015-11-26,1800.0,1946.0,1598.0
2015-11-27,1789.0,1947.0,1594.0
2015-11-30,1771.0,1925.0,1581.0
2015-12-01,1753.0,1925.0,1600.0
2015-12-02,1769.0,1938.0,1603.0
2015-12-03,1778.0,1939.0,1604.0
2015-12-04,1761.0,1927.0,1572.0
2015-12-07,1780.0,1920.0,1586.0
2015-12-08,1767.0,1918.0,1569.0
2015-12-09,1753.0,1903.0,1556.0
2015-12-10,1726.0,1890.0,1540.0
2015-12-11,1730.0,1879.0,1549.0
2015-12-14,1733.0,1870.0,1530.0
2015-12-15,1710.0,1830.0,1504.0
2015-12-16,1724.0,1880.0,1539.0
2015-12-17,1755.0,1905.0,1565.0
2015-12-18,1751.0,1893.0,1544.0
2015-12-21,1731.0,1879.0,1533.0
2015-12-22,1750.0,1878.0,1536.0
2015-12-24,1760.0,1908.0,1524.0
2015-12-25,1783.0,1935.0,1517.0
2015-12-28,1735.0,1905.0,1530.0
2015-12-29,1749.0,1914.0,1539.0
2015-12-30,1760.0,1925.0,1529.0
2016-01-04,1720.0,1864.0,1514.0
2016-01-05,1721.0,1872.0,1507.0
2016-01-06,1710.0,1825.0,1492.0
2016-01-07,1695.0,1801.0,1462.0
2016-01-08,1678.0,1800.0,1453.0
2016-01-12,1632.0,1800.0,1407.0
2016-01-13,1664.0,1772.0,1446.0
2016-01-14,1627.0,1725.0,1411.0
2016-01-15,1632.0,1731.0,1406.0
2016-01-18,1631.0,1730.0,1392.0
2016-01-19,1627.0,1743.0,1393.0
2016-01-20,1573.0,1693.0,1343.0
2016-01-21,1531.0,1650.0,1306.0
2016-01-22,1583.0,1736.0,1377.0
2016-01-25,1613.0,1760.0,1392.0
2016-01-26,1605.0,1700.0,1362.0
2016-01-27,1615.0,1782.0,1402.0
2016-01-28,1631.0,1777.0,1395.0
2016-01-29,1694.0,1826.0,1443.0
2016-02-01,1718.0,1878.0,1466.0
2016-02-02,1723.0,1829.0,1456.0
2016-02-03,1692.0,1794.0,1410.0
2016-02-04,1666.0,1785.0,1391.0
2016-02-05,1633.0,1749.0,1372.0
2016-02-08,1665.0,1761.0,1383.0
2016-02-09,1592.0,1738.0,1309.0
2016-02-10,1536.0,1785.0,1267.0
2016-02-12,1468.0,1785.0,1201.0
2016-02-15,1580.0,1800.0,1297.0
2016-02-16,1563.0,1815.0,1300.0
2016-02-17,1525.0,1796.0,1285.0
2016-02-18,1550.0,1730.0,1314.0
2016-02-19,1557.0,1809.0,1296.0
2016-02-22,1550.0,1808.0,1302.0
2016-02-23,1549.0,1805.0,1294.0
2016-02-24,1537.0,1680.0,1283.0
2016-02-25,1570.0,1696.0,1312.0
2016-02-26,1590.0,1710.0,1315.0
2016-02-29,1580.0,1720.0,1302.0
2016-03-01,1565.0,1698.0,1303.0
2016-03-02,1595.0,1741.0,1353.0
2016-03-03,1607.0,1762.0,1371.0
2016-03-04,1625.0,1785.0,1378.0
2016-03-07,1629.0,1790.0,1365.0
2016-03-08,1616.0,1761.0,1351.0
2016-03-09,1599.0,1784.0,1337.0
2016-03-10,1585.0,1748.0,1356.0
2016-03-11,1633.0,1785.0,1362.0
2016-03-14,1630.0,1795.0,1383.0
2016-03-15,1601.0,1795.0,1371.0
2016-03-16,1607.0,1738.0,1364.0
2016-03-17,1610.0,1738.0,1362.0
2016-03-18,1598.0,1733.0,1348.0
2016-03-22,1623.0,1756.0,1371.0
2016-03-23,1607.0,1750.0,1368.0
2016-03-24,1606.0,1736.0,1356.0
2016-03-25,1618.0,1747.0,1368.0
2016-03-28,1619.0,1761.0,1384.0
2016-03-29,1636.0,1778.0,1393.0
2016-03-30,1648.0,1755.0,1373.0
2016-03-31,1636.0,1740.0,1362.0
2016-04-01,1587.0,1692.0,1315.0
2016-04-04,1580.0,1690.0,1317.0
2016-04-05,1559.0,1648.0,1283.0
2016-04-06,1540.0,1646.0,1283.0
2016-04-07,1541.0,1655.0,1286.0
2016-04-08,1548.0,1678.0,1302.0
2016-04-11,1549.0,1660.0,1296.0
2016-04-12,1550.0,1693.0,1315.0
2016-04-13,1568.0,1729.0,1348.0
2016-04-14,1600.0,1765.0,1385.0
2016-04-15,1586.0,1774.0,1372.0
2016-04-18,1583.0,1725.0,1335.0
