code,name,連動対象,取引値,売買単位,運用会社,信託報酬（税抜）
1319,(NEXT FUNDS)日経300株価指数連動型上場投信,日経300,373,1000,野村,0.51%
1357,(NEXT FUNDS) 日経ダブルインバース上場投信,日経平均ダブルインバース,407,1,野村,0.80%
1311,(NEXT FUNDS)TOPIX Core30連動型上場投信,TOPIX Core30,913,10,野村,0.19%
1472,(NEXT FUNDS)JPX日経400ダブルインバース,JPX日経400ダブルインバース,922,1,野村,0.80%
2510,(NEXT FUNDS)国内債券・NOMURA-BPI総合,NOMURA-BPI総合,992,10,野村,0.07%
1571,(NEXT FUNDS)日経平均インバース上場投信,日経平均インバース,995,1,野村,0.80%
2529,(NEXT FUNDS)野村株主還元70連動型上場投信,野村株主還元70,"1,043",1,野村,0.28%
2518,(NEXT FUNDS) MSCI日本株女性活躍(セレクト)上場投信,MSCI日本株女性活躍セレクト,"1,120",1,野村,0.15%
1343,(NEXT FUNDS)東証REIT指数連動型上場投信,東証REIT指数,"2,071",10,野村,0.16%
1471,(NEXT FUNDS)JPX日経400インバース,JPX日経400インバース,"3,460",1,野村,0.80%
1591,(NEXT FUNDS) JPX日経インデックス400,JPX日経インデックス400,"17,510",1,野村,0.20%
1480,(NEXT FUNDS)野村企業価値分配指数上場投信,野村企業価値分配,"19,390",1,野村,0.23%
1598,(NEXT FUNDS)R/Nファンダメンタル上場投信,R/Nファンダメンタル・プライム,"19,770",1,野村,0.30%
1577,(NEXT FUNDS)野村日本株高配当70連動型ETF,野村日本株高配当70,"21,700",1,野村,0.32%
1470,(NEXT FUNDS)JPX日経400レバレッジ,JPX日経400レバレッジ,"25,200",1,野村,0.80%
1489,(NEXT FUNDS)日経平均高配当株50指数連動型ETF,日経平均高配当株50,"33,250",1,野村,0.28%
1570,(NEXT FUNDS)日経平均レバレッジ上場投信,日経平均レバレッジ,"34,300",1,野村,0.80%
