,日付,始値,高値,安値,終値,出来高,終値調整
0,2013-03-07,15320.0,15700.0,15170.0,15200.0,28289.0,15200.0
1,2013-03-08,15460.0,15460.0,15320.0,15430.0,10954.0,15430.0
2,2013-03-11,15690.0,15760.0,15550.0,15740.0,12051.0,15740.0
3,2013-03-12,15890.0,15920.0,15690.0,15690.0,15110.0,15690.0
4,2013-03-13,15660.0,15710.0,15600.0,15630.0,8839.0,15630.0
5,2013-03-14,15700.0,15700.0,15570.0,15670.0,2183.0,15670.0
6,2013-03-15,15760.0,15860.0,15700.0,15840.0,5316.0,15840.0
7,2013-03-18,15730.0,15740.0,15580.0,15590.0,11960.0,15590.0
8,2013-03-19,15780.0,15870.0,15720.0,15850.0,2633.0,15850.0
9,2013-03-21,16030.0,16090.0,16010.0,16090.0,1038.0,16090.0
10,2013-03-22,15980.0,15990.0,15830.0,15850.0,11486.0,15850.0
11,2013-03-25,16010.0,16010.0,15900.0,15950.0,3219.0,15950.0
12,2013-03-26,15890.0,15920.0,15800.0,15810.0,4700.0,15810.0
13,2013-03-27,15990.0,16000.0,15930.0,15950.0,2941.0,15950.0
14,2013-03-28,15990.0,15990.0,15710.0,15830.0,6594.0,15830.0
15,2013-03-29,15870.0,15870.0,15680.0,15820.0,3744.0,15820.0
16,2013-04-01,15750.0,15750.0,15220.0,15270.0,25987.0,15270.0
17,2013-04-02,15110.0,15170.0,14750.0,15070.0,10901.0,15070.0
18,2013-04-03,15000.0,15070.0,14910.0,15070.0,6054.0,15070.0
19,2013-04-04,14900.0,15390.0,14790.0,15390.0,17131.0,15390.0
20,2013-04-05,15790.0,16080.0,15590.0,15600.0,41532.0,15600.0
21,2013-04-08,16000.0,16140.0,15860.0,16020.0,5568.0,16020.0
22,2013-04-09,16060.0,16070.0,15840.0,15930.0,4437.0,15930.0
23,2013-04-10,16060.0,16380.0,16060.0,16370.0,6187.0,16370.0
24,2013-04-11,16550.0,16720.0,16550.0,16650.0,8015.0,16650.0
25,2013-04-12,16500.0,16750.0,16370.0,16750.0,2105.0,16750.0
26,2013-04-15,16560.0,16680.0,16480.0,16570.0,2349.0,16570.0
27,2013-04-16,16190.0,16410.0,16140.0,16380.0,4202.0,16380.0
28,2013-04-17,16500.0,16630.0,16480.0,16620.0,2808.0,16620.0
29,2013-04-18,16530.0,16590.0,16400.0,16420.0,2031.0,16420.0
30,2013-04-19,16490.0,16490.0,16300.0,16470.0,4565.0,16470.0
31,2013-04-22,16700.0,16800.0,16610.0,16710.0,4322.0,16710.0
32,2013-04-23,16700.0,16710.0,16650.0,16700.0,1375.0,16700.0
33,2013-04-24,16800.0,17000.0,16800.0,16990.0,3455.0,16990.0
34,2013-04-25,17030.0,17220.0,17030.0,17150.0,3478.0,17150.0
35,2013-04-26,17220.0,17230.0,16980.0,16980.0,6255.0,16980.0
36,2013-04-30,16980.0,17120.0,16980.0,17090.0,1358.0,17090.0
37,2013-05-01,17100.0,17100.0,16940.0,16950.0,2972.0,16950.0
38,2013-05-02,16930.0,16950.0,16840.0,16850.0,3318.0,16850.0
39,2013-05-07,17520.0,17520.0,17260.0,17360.0,3034.0,17360.0
40,2013-05-08,17490.0,17630.0,17430.0,17540.0,4547.0,17540.0
41,2013-05-09,17640.0,17640.0,17350.0,17360.0,2683.0,17360.0
42,2013-05-10,17700.0,17780.0,17560.0,17730.0,2375.0,17730.0
43,2013-05-13,17790.0,17900.0,17790.0,17890.0,1858.0,17890.0
