,日付,始値,高値,安値,終値,出来高,終値調整
0,2015-10-20,1848.0,1888.0,1820.0,1820.0,1315.0,1820.0
1,2015-10-21,1860.0,1884.0,1822.0,1865.0,494.0,1865.0
2,2015-10-22,1882.0,1882.0,1855.0,1860.0,573.0,1860.0
3,2015-10-23,1953.0,1953.0,1892.0,1903.0,985.0,1903.0
4,2015-10-26,1943.0,1943.0,1909.0,1909.0,1950.0,1909.0
5,2015-10-27,1945.0,1945.0,1888.0,1929.0,5406.0,1929.0
6,2015-10-28,1908.0,1910.0,1872.0,1876.0,13374.0,1876.0
7,2015-10-29,1916.0,1916.0,1895.0,1914.0,1721.0,1914.0
8,2015-10-30,1919.0,1931.0,1889.0,1928.0,2866.0,1928.0
9,2015-11-02,1900.0,1900.0,1886.0,1890.0,919.0,1890.0
10,2015-11-04,1924.0,1943.0,1891.0,1912.0,462.0,1912.0
11,2015-11-05,1915.0,1915.0,1881.0,1915.0,807.0,1915.0
12,2015-11-06,1915.0,1919.0,1910.0,1918.0,1450.0,1918.0
13,2015-11-09,1919.0,1998.0,1919.0,1967.0,1377.0,1967.0
14,2015-11-10,1949.0,1968.0,1926.0,1968.0,635.0,1968.0
15,2015-11-11,1994.0,1994.0,1935.0,1962.0,15267.0,1962.0
16,2015-11-12,1949.0,1965.0,1949.0,1957.0,1084.0,1957.0
17,2015-11-13,1934.0,1942.0,1917.0,1942.0,1000.0,1942.0
18,2015-11-16,1982.0,1982.0,1905.0,1931.0,1203.0,1931.0
19,2015-11-17,1989.0,1989.0,1937.0,1947.0,619.0,1947.0
20,2015-11-18,1955.0,1958.0,1933.0,1944.0,977.0,1944.0
21,2015-11-19,1960.0,1972.0,1934.0,1955.0,1154.0,1955.0
22,2015-11-20,1951.0,1951.0,1941.0,1944.0,212.0,1944.0
23,2015-11-24,1956.0,1956.0,1942.0,1956.0,1744.0,1956.0
24,2015-11-25,1946.0,1946.0,1937.0,1942.0,716.0,1942.0
