,日付,始値,高値,安値,終値,出来高,終値調整
0,2016-03-22,15200.0,15200.0,14910.0,14910.0,44.0,14910.0
1,2016-03-23,14930.0,14930.0,14920.0,14920.0,6.0,14920.0
2,2016-03-29,15260.0,15260.0,15260.0,15260.0,1.0,15260.0
3,2016-03-30,15890.0,15890.0,15200.0,15200.0,6.0,15200.0
4,2016-03-31,15060.0,15060.0,15000.0,15000.0,2.0,15000.0
5,2016-04-01,14600.0,14600.0,14380.0,14380.0,19.0,14380.0
6,2016-04-04,14470.0,14470.0,14470.0,14470.0,1.0,14470.0
7,2016-04-05,14130.0,14130.0,14030.0,14030.0,2.0,14030.0
8,2016-04-06,14060.0,14060.0,14060.0,14060.0,1.0,14060.0
9,2016-04-07,14050.0,14050.0,14000.0,14000.0,2.0,14000.0
10,2016-04-08,13980.0,13980.0,13750.0,13750.0,2.0,13750.0
11,2016-04-11,14000.0,14000.0,14000.0,14000.0,1.0,14000.0
12,2016-04-13,13900.0,13900.0,13900.0,13900.0,1.0,13900.0
13,2016-04-14,14200.0,14200.0,14100.0,14100.0,6.0,14100.0
14,2016-04-15,14500.0,14500.0,14370.0,14370.0,9.0,14370.0
15,2016-04-18,14520.0,14550.0,14520.0,14530.0,4.0,14530.0
16,2016-04-19,15000.0,15000.0,15000.0,15000.0,7.0,15000.0
17,2016-04-21,15200.0,15200.0,14700.0,14700.0,8.0,14700.0
18,2016-04-22,15210.0,15210.0,15210.0,15210.0,1.0,15210.0
19,2016-04-26,15150.0,15160.0,15150.0,15160.0,2.0,15160.0
20,2016-04-27,15140.0,15140.0,15140.0,15140.0,1.0,15140.0
21,2016-05-02,14440.0,14440.0,14440.0,14440.0,69.0,14440.0
22,2016-05-06,14140.0,14140.0,14140.0,14140.0,3.0,14140.0
23,2016-05-10,14660.0,14660.0,14650.0,14650.0,2.0,14650.0
24,2016-05-17,14820.0,14820.0,14820.0,14820.0,1.0,14820.0
25,2016-05-18,14910.0,14910.0,14910.0,14910.0,1.0,14910.0
26,2016-05-19,14810.0,14810.0,14810.0,14810.0,1.0,14810.0
27,2016-05-20,14830.0,14830.0,14830.0,14830.0,1.0,14830.0
28,2016-05-23,14910.0,14910.0,14910.0,14910.0,1.0,14910.0
29,2016-05-24,14720.0,14720.0,14720.0,14720.0,1.0,14720.0
30,2016-05-25,14880.0,14880.0,14880.0,14880.0,1.0,14880.0
31,2016-05-26,14990.0,14990.0,14990.0,14990.0,1.0,14990.0
32,2016-05-27,14950.0,14950.0,14950.0,14950.0,1.0,14950.0
33,2016-05-30,15000.0,15000.0,15000.0,15000.0,1.0,15000.0
34,2016-05-31,15210.0,15210.0,15210.0,15210.0,1.0,15210.0
35,2016-06-01,15220.0,15220.0,15220.0,15220.0,1.0,15220.0
36,2016-06-02,15090.0,15090.0,14790.0,14790.0,2.0,14790.0
37,2016-06-03,14780.0,14780.0,14780.0,14780.0,1.0,14780.0
38,2016-06-06,14660.0,14660.0,14660.0,14660.0,1.0,14660.0
39,2016-06-07,14860.0,14860.0,14860.0,14860.0,1.0,14860.0
40,2016-06-08,14840.0,14840.0,14840.0,14840.0,1.0,14840.0
41,2016-06-09,14890.0,14890.0,14890.0,14890.0,1.0,14890.0
42,2016-06-10,14830.0,14830.0,14830.0,14830.0,1.0,14830.0
43,2016-06-13,14470.0,14470.0,14390.0,14390.0,8.0,14390.0
44,2016-06-14,14190.0,14190.0,14190.0,14190.0,1.0,14190.0
45,2016-06-15,14200.0,14350.0,14200.0,14350.0,2.0,14350.0
46,2016-06-16,14120.0,14120.0,14120.0,14120.0,1.0,14120.0
47,2016-06-17,14110.0,14110.0,14110.0,14110.0,1.0,14110.0
48,2016-06-20,14300.0,14300.0,14300.0,14300.0,1.0,14300.0
49,2016-06-21,14390.0,14390.0,14390.0,14390.0,1.0,14390.0
50,2016-06-22,14350.0,14350.0,14350.0,14350.0,1.0,14350.0
51,2016-06-23,14450.0,14450.0,14450.0,14450.0,1.0,14450.0
52,2016-06-24,13750.0,13750.0,13480.0,13480.0,3.0,13480.0
53,2016-06-27,13710.0,13710.0,13710.0,13710.0,2.0,13710.0
54,2016-06-28,13790.0,13790.0,13790.0,13790.0,1.0,13790.0
55,2016-06-29,14040.0,14040.0,14040.0,14040.0,1.0,14040.0
56,2016-06-30,14220.0,14220.0,14150.0,14150.0,2.0,14150.0
57,2016-07-01,14240.0,14240.0,14140.0,14140.0,7.0,14140.0
58,2016-07-04,14110.0,14110.0,14110.0,14110.0,5.0,14110.0
59,2016-07-05,14110.0,14110.0,14070.0,14070.0,6.0,14070.0
60,2016-07-06,13930.0,13930.0,13750.0,13750.0,9.0,13750.0
61,2016-07-07,13810.0,13810.0,13810.0,13810.0,1.0,13810.0
62,2016-07-08,13770.0,13770.0,13600.0,13600.0,5.0,13600.0
63,2016-07-11,13970.0,14200.0,13970.0,14200.0,7.0,14200.0
64,2016-07-12,14350.0,14350.0,14350.0,14350.0,2.0,14350.0
65,2016-07-13,14490.0,14490.0,14490.0,14490.0,1.0,14490.0
66,2016-07-14,14520.0,14520.0,14440.0,14440.0,9.0,14440.0
67,2016-07-15,14450.0,14650.0,14450.0,14650.0,9.0,14650.0
68,2016-07-19,16850.0,16850.0,14140.0,14280.0,113.0,14280.0
69,2016-07-20,14220.0,14740.0,14220.0,14740.0,3.0,14740.0
70,2016-07-21,14960.0,14960.0,14960.0,14960.0,1.0,14960.0
71,2016-07-22,14760.0,14760.0,14220.0,14220.0,3.0,14220.0
72,2016-07-25,14820.0,14820.0,14600.0,14600.0,2.0,14600.0
73,2016-07-26,14600.0,14600.0,14600.0,14600.0,1.0,14600.0
74,2016-07-27,14700.0,14790.0,14700.0,14790.0,3.0,14790.0
75,2016-07-28,14600.0,14600.0,14600.0,14600.0,1.0,14600.0
76,2016-07-29,14570.0,14570.0,14570.0,14570.0,1.0,14570.0
77,2016-08-01,14760.0,14770.0,14760.0,14770.0,2.0,14770.0
78,2016-08-02,14630.0,14630.0,14630.0,14630.0,1.0,14630.0
79,2016-08-03,14280.0,14280.0,14230.0,14230.0,51.0,14230.0
80,2016-08-04,13930.0,13930.0,13760.0,13760.0,51.0,13760.0
81,2016-08-05,14230.0,14240.0,14230.0,14240.0,2.0,14240.0
82,2016-08-08,14490.0,14490.0,14490.0,14490.0,1.0,14490.0
83,2016-08-09,14500.0,14500.0,14500.0,14500.0,1.0,14500.0
84,2016-08-10,14400.0,14570.0,14400.0,14570.0,2.0,14570.0
85,2016-08-12,14750.0,14750.0,14750.0,14750.0,1.0,14750.0
86,2016-08-15,14680.0,14680.0,14630.0,14630.0,7.0,14630.0
87,2016-08-16,14610.0,14610.0,14430.0,14430.0,15.0,14430.0
88,2016-08-17,14420.0,14420.0,14420.0,14420.0,1.0,14420.0
89,2016-08-18,14400.0,14400.0,14400.0,14400.0,7.0,14400.0
90,2016-08-19,14050.0,14050.0,14050.0,14050.0,1.0,14050.0
91,2016-08-22,14350.0,14350.0,14340.0,14340.0,4.0,14340.0
92,2016-08-24,14380.0,14380.0,14380.0,14380.0,1.0,14380.0
93,2016-08-25,14370.0,14370.0,14370.0,14370.0,1.0,14370.0
94,2016-08-26,14220.0,14220.0,14100.0,14200.0,2006.0,14200.0
95,2016-08-29,14390.0,14390.0,14390.0,14390.0,1.0,14390.0
96,2016-08-31,14390.0,14400.0,14390.0,14400.0,2.0,14400.0
97,2016-09-01,14100.0,14200.0,14100.0,14200.0,2.0,14200.0
98,2016-09-02,14610.0,14610.0,14610.0,14610.0,1.0,14610.0
99,2016-09-05,14900.0,14900.0,14350.0,14350.0,9.0,14350.0
100,2016-09-06,14600.0,14760.0,14600.0,14760.0,5.0,14760.0
101,2016-09-07,14790.0,14790.0,14790.0,14790.0,1.0,14790.0
102,2016-09-08,14750.0,14750.0,14750.0,14750.0,1.0,14750.0
103,2016-09-09,14690.0,14690.0,14690.0,14690.0,1.0,14690.0
104,2016-09-12,14540.0,14540.0,14460.0,14460.0,8.0,14460.0
105,2016-09-13,14260.0,14510.0,14260.0,14510.0,14.0,14510.0
106,2016-09-14,14500.0,14500.0,14470.0,14470.0,16.0,14470.0
107,2016-09-15,14320.0,14350.0,14320.0,14350.0,9.0,14350.0
108,2016-09-16,14500.0,14500.0,14500.0,14500.0,1.0,14500.0
109,2016-09-20,14480.0,14480.0,14480.0,14480.0,1.0,14480.0
110,2016-09-21,14220.0,14220.0,14180.0,14180.0,35.0,14180.0
111,2016-09-23,14810.0,14830.0,14810.0,14830.0,7.0,14830.0
112,2016-09-26,14810.0,14810.0,14500.0,14500.0,12.0,14500.0
113,2016-09-28,14780.0,14780.0,14780.0,14780.0,1.0,14780.0
114,2016-09-29,14180.0,14210.0,14180.0,14210.0,6.0,14210.0
115,2016-09-30,14810.0,15000.0,14230.0,14230.0,205.0,14230.0
116,2016-10-03,14530.0,14610.0,14530.0,14610.0,2.0,14610.0
117,2016-10-04,14870.0,14870.0,14870.0,14870.0,1.0,14870.0
118,2016-10-05,14980.0,14980.0,14980.0,14980.0,3.0,14980.0
119,2016-10-06,14810.0,14810.0,14810.0,14810.0,1.0,14810.0
120,2016-10-11,14830.0,14830.0,14830.0,14830.0,4.0,14830.0
121,2016-10-12,15000.0,15000.0,15000.0,15000.0,1.0,15000.0
122,2016-10-19,15030.0,15030.0,15030.0,15030.0,1.0,15030.0
123,2016-10-20,14900.0,15250.0,14900.0,15250.0,14.0,15250.0
124,2016-10-21,15290.0,15290.0,15290.0,15290.0,5.0,15290.0
125,2016-10-24,15190.0,15190.0,15190.0,15190.0,1.0,15190.0
126,2016-10-25,15100.0,15100.0,15100.0,15100.0,201.0,15100.0
127,2016-10-27,15220.0,15240.0,15220.0,15240.0,11.0,15240.0
128,2016-10-28,15430.0,15430.0,15430.0,15430.0,1.0,15430.0
129,2016-10-31,15180.0,15180.0,15180.0,15180.0,2.0,15180.0
130,2016-11-01,15500.0,15500.0,15500.0,15500.0,1.0,15500.0
131,2016-11-02,15030.0,15210.0,15000.0,15210.0,4.0,15210.0
132,2016-11-08,15240.0,15240.0,15220.0,15220.0,4.0,15220.0
133,2016-11-11,15200.0,15200.0,15200.0,15200.0,1.0,15200.0
134,2016-11-14,15410.0,15410.0,15200.0,15200.0,10.0,15200.0
135,2016-11-15,15470.0,15470.0,15130.0,15130.0,11.0,15130.0
136,2016-11-16,15380.0,15380.0,15380.0,15380.0,30.0,15380.0
137,2016-11-18,15480.0,15480.0,15480.0,15480.0,6.0,15480.0
138,2016-11-21,15840.0,15840.0,15840.0,15840.0,10.0,15840.0
139,2016-11-22,15840.0,15840.0,15840.0,15840.0,5.0,15840.0
140,2016-11-24,16040.0,16040.0,16040.0,16040.0,1.0,16040.0
141,2016-11-28,16010.0,16010.0,16010.0,16010.0,1.0,16010.0
142,2016-12-01,16040.0,16320.0,16040.0,16320.0,12.0,16320.0
143,2016-12-02,16010.0,16010.0,16010.0,16010.0,1.0,16010.0
144,2016-12-05,15900.0,15900.0,15900.0,15900.0,1.0,15900.0
145,2016-12-06,15900.0,15900.0,15900.0,15900.0,2.0,15900.0
146,2016-12-08,15600.0,15900.0,15600.0,15900.0,3.0,15900.0
147,2016-12-09,16270.0,16270.0,16270.0,16270.0,1.0,16270.0
148,2016-12-13,16270.0,16270.0,16270.0,16270.0,2.0,16270.0
149,2016-12-14,16570.0,16570.0,16570.0,16570.0,1.0,16570.0
150,2016-12-15,16720.0,16720.0,16720.0,16720.0,1.0,16720.0
151,2016-12-19,16660.0,16660.0,16660.0,16660.0,1.0,16660.0
152,2016-12-20,16450.0,16450.0,16450.0,16450.0,2.0,16450.0
153,2016-12-21,16540.0,16540.0,16540.0,16540.0,1.0,16540.0
154,2016-12-22,16540.0,16540.0,16440.0,16440.0,2.0,16440.0
155,2016-12-26,16690.0,16690.0,16690.0,16690.0,1.0,16690.0
156,2016-12-27,16730.0,16730.0,16730.0,16730.0,1.0,16730.0
157,2016-12-29,16550.0,16550.0,16550.0,16550.0,1.0,16550.0
158,2016-12-30,16500.0,16500.0,16500.0,16500.0,2.0,16500.0
159,2017-01-04,17300.0,17560.0,16850.0,16850.0,13.0,16850.0
160,2017-01-05,16900.0,16900.0,16900.0,16900.0,1.0,16900.0
161,2017-01-06,16680.0,16680.0,16680.0,16680.0,10.0,16680.0
162,2017-01-12,16530.0,16530.0,16530.0,16530.0,1.0,16530.0
163,2017-01-13,16710.0,16710.0,16710.0,16710.0,1.0,16710.0
164,2017-01-17,16380.0,16380.0,16380.0,16380.0,1.0,16380.0
165,2017-01-18,16250.0,16250.0,16250.0,16250.0,5.0,16250.0
166,2017-01-19,16570.0,16570.0,16570.0,16570.0,7.0,16570.0
167,2017-01-20,16550.0,16550.0,16550.0,16550.0,1.0,16550.0
168,2017-01-23,16360.0,16360.0,16360.0,16360.0,1.0,16360.0
169,2017-01-24,16360.0,16360.0,16360.0,16360.0,7.0,16360.0
170,2017-01-27,16760.0,16760.0,16760.0,16760.0,10.0,16760.0
171,2017-01-31,16550.0,16550.0,16550.0,16550.0,10.0,16550.0
172,2017-02-01,16230.0,16230.0,16230.0,16230.0,20.0,16230.0
173,2017-02-02,16370.0,16370.0,16370.0,16370.0,5.0,16370.0
174,2017-02-06,16600.0,16600.0,16420.0,16420.0,10.0,16420.0
175,2017-02-08,16170.0,16170.0,16170.0,16170.0,70.0,16170.0
176,2017-02-09,16410.0,16410.0,16390.0,16400.0,5.0,16400.0
177,2017-02-10,16610.0,16610.0,16490.0,16490.0,2.0,16490.0
178,2017-02-13,16590.0,16590.0,16590.0,16590.0,5.0,16590.0
179,2017-02-14,16840.0,16840.0,16520.0,16520.0,7.0,16520.0
180,2017-02-15,16820.0,16820.0,16540.0,16540.0,2.0,16540.0
181,2017-02-17,16670.0,16670.0,16670.0,16670.0,1.0,16670.0
182,2017-02-23,16560.0,16680.0,16560.0,16680.0,6.0,16680.0
183,2017-02-27,17460.0,17480.0,17460.0,17480.0,8.0,17480.0
184,2017-02-28,17490.0,20060.0,17100.0,17800.0,168.0,17800.0
185,2017-03-03,17990.0,17990.0,17980.0,17980.0,21.0,17980.0
186,2017-03-06,16880.0,16880.0,16600.0,16840.0,61.0,16840.0
187,2017-03-07,16840.0,16840.0,16840.0,16840.0,2.0,16840.0
188,2017-03-10,16850.0,17120.0,16850.0,17120.0,18.0,17120.0
189,2017-03-13,17140.0,17140.0,17140.0,17140.0,2.0,17140.0
190,2017-03-16,16880.0,16880.0,16880.0,16880.0,9.0,16880.0
191,2017-03-17,17040.0,17040.0,17040.0,17040.0,3.0,17040.0
192,2017-03-22,16740.0,16790.0,16700.0,16700.0,4.0,16700.0
193,2017-03-23,16720.0,16720.0,16700.0,16700.0,11.0,16700.0
194,2017-03-28,16700.0,16700.0,16700.0,16700.0,1.0,16700.0
195,2017-03-30,16740.0,16740.0,16740.0,16740.0,50.0,16740.0
196,2017-03-31,16640.0,16640.0,16640.0,16640.0,1.0,16640.0
197,2017-04-04,16600.0,16740.0,16600.0,16740.0,31.0,16740.0
198,2017-04-10,16510.0,16510.0,16510.0,16510.0,1.0,16510.0
199,2017-04-12,16450.0,16460.0,16450.0,16460.0,31.0,16460.0
200,2017-04-13,16070.0,16070.0,16070.0,16070.0,30.0,16070.0
201,2017-04-17,16320.0,16320.0,16320.0,16320.0,1.0,16320.0
202,2017-04-20,16430.0,16430.0,16430.0,16430.0,1.0,16430.0
