date,1460.csv,1357.csv,1489.csv,1490.csv,1312.csv
2015-01-05,,3835.0,,,15610.0
2015-01-06,,4060.0,,,15400.0
2015-01-07,,4050.0,,,15310.0
2015-01-08,,3915.0,,,15210.0
2015-01-09,,3905.0,,,
2015-01-13,,3965.0,,,15200.0
2015-01-14,,4105.0,,,15200.0
2015-01-15,,3950.0,,,15300.0
2015-01-16,,4055.0,,,14930.0
2015-01-19,,3975.0,,,15270.0
2015-01-20,,3820.0,,,15300.0
2015-01-21,,3850.0,,,15300.0
2015-01-22,,3825.0,,,15260.0
2015-01-23,,3760.0,,,15350.0
2015-01-26,,3775.0,,,
2015-01-27,,3645.0,,,15580.0
2015-01-28,,3635.0,,,15520.0
2015-01-29,,3705.0,,,15690.0
2015-01-30,,3675.0,,,15680.0
2015-02-02,,3725.0,,,15630.0
2015-02-03,,3820.0,,,15840.0
2015-02-04,,3665.0,,,15600.0
2015-02-05,,3735.0,,,
2015-02-06,,3675.0,,,15610.0
2015-02-09,,3650.0,,,15720.0
2015-02-10,,3670.0,,,15850.0
2015-02-12,,3550.0,,,15920.0
2015-02-13,,3560.0,,,15920.0
2015-02-16,,3535.0,,,16270.0
2015-02-17,,3540.0,,,16050.0
2015-02-18,,3460.0,,,16230.0
2015-02-19,,3435.0,,,16360.0
2015-02-20,,3400.0,,,16380.0
2015-02-23,,3355.0,,,16510.0
2015-02-24,,3305.0,,,16510.0
2015-02-25,,3315.0,,,16510.0
2015-02-26,,3240.0,,,16710.0
2015-02-27,,3235.0,,,16930.0
2015-03-02,,3230.0,,,16800.0
2015-03-03,,3225.0,,,16670.0
2015-03-04,,3265.0,,,16810.0
2015-03-05,,3255.0,,,
2015-03-06,,3170.0,,,16750.0
2015-03-09,,3225.0,,,16690.0
2015-03-10,,3275.0,,,16690.0
2015-03-11,,3255.0,,,16760.0
2015-03-12,,3155.0,,,16860.0
2015-03-13,,3060.0,,,17100.0
2015-03-16,,3065.0,,,17000.0
2015-03-17,,3005.0,,,17060.0
2015-03-18,,2972.0,,,17290.0
2015-03-19,,2997.0,,,17250.0
2015-03-20,,2971.0,,,
2015-03-23,,2906.0,,,17400.0
2015-03-24,,2922.0,,,17400.0
2015-03-25,,2915.0,,,17230.0
2015-03-26,,3010.0,,,17220.0
2015-03-27,,3015.0,,,
2015-03-30,,2981.0,,,17190.0
2015-03-31,,3030.0,,,17120.0
2015-04-01,,3095.0,,,16880.0
2015-04-02,,3015.0,,,17290.0
2015-04-03,,2974.0,,,17020.0
2015-04-06,,2983.0,,,17120.0
2015-04-07,,2908.0,,,17290.0
2015-04-08,,2865.0,,,17410.0
2015-04-09,,2823.0,,,17430.0
2015-04-10,,2817.0,,,17470.0
2015-04-13,,2832.0,,,17500.0
2015-04-14,,2828.0,,,17650.0
2015-04-15,,2844.0,,,17670.0
2015-04-16,,2836.0,,,17590.0
2015-04-17,,2901.0,,,17590.0
2015-04-20,,2907.0,,,17250.0
2015-04-21,,2826.0,,,17400.0
2015-04-22,,2761.0,,,17550.0
2015-04-23,,2741.0,,,17570.0
2015-04-24,,2790.0,,,17700.0
